name,state,established,discontinued,latitude,longitude
ANDOVER,SC,1891.0,1904.0,35.079282,-82.2056676
ANDREWS,FL,1910.0,1920.0,30.7352343,-81.9478904
ANREP,AR,1918.0,1927.0,34.2223205,-91.5681809
ANTIOCH,SC,1846.0,1879.0,34.8701406,-81.116747
APALACHIN,NY,1833.0,null,42.0796882,-76.1594216
APPLE GROVE,AL,1849.0,1897.0,34.3987046,-86.6102709
ARAB,MO,1943.0,null,37.0936629,-90.0767666
ARARAT,AL,1880.0,1933.0,31.9682064,-88.1466822
ARGENTINE,PA,1884.0,1957.0,41.0942287,-79.8192186
ARGUS,PA,1882.0,1954.0,40.3664908,-75.3829554
ARLINGTON,SC,1887.0,1985.0,34.9612277,-82.2120561
ARMSTRONG,MO,1878.0,null,39.2685839,-92.7010421
ARNAUDVILLE,LA,1854.0,null,30.3976973,-91.9315062
ARNOLDS,TN,1900.0,1904.0,35.911989,-85.6070734
AROOSTOOK,ME,1843.0,1868.0,46.6312084,-68.4046021
ASBURY,SC,1882.0,1904.0,34.9265193,-81.6309311
ASCUTNEYVILLE,VT,1851.0,1924.0,43.4071372,-72.4073319
ASHBURN,TN,1892.0,1907.0,36.6211544,-86.8286084
ASHTON,MO,1851.0,1954.0,40.4461499,-91.8076678
ASKA,GA,1900.0,1958.0,34.7678632,-84.2621388
ASTATULA,FL,1894.0,null,28.7205232,-81.733356
ATGLEN,PA,1876.0,null,39.9491153,-75.9739665
ATHENS,AR,1901.0,1965.0,34.3145524,-93.9768619
ATHOL,MO,1899.0,1903.0,38.1725272,-94.3788399
ATHOL,MA,1802.0,1873.0,42.5938329,-72.2345724
ATWOOD,PA,1868.0,1932.0,40.7547867,-79.2664279
ATWOODVILLE,CT,1886.0,1901.0,41.7848206,-72.1745219
AUBURN,TN,1850.0,1901.0,35.9478463,-86.0961408
AUDUBON,FL,1914.0,1932.0,28.4372244,-80.6597742
AUGUSTA,NJ,1812.0,null,41.1162293,-74.7184584
AURELIUS,NY,1798.0,1901.0,42.9167337,-76.6246673
AUSTIN'S SPRINGS,TN,1875.0,1900.0,36.3831607,-82.3493061
AUSTRAL,TN,1908.0,1922.0,35.2339621,-84.5452092
AUTREYVILLE,GA,1893.0,1951.0,31.0624097,-83.7648933
AVALON,PA,1888.0,1897.0,40.5009019,-80.0675554
AVENTINA,FL,1916.0,1924.0,25.9691763,-80.1297659
BACHMANVILLE,PA,1872.0,1942.0,40.242592,-76.5946911
BACONS FERRY,TN,1914.0,1920.0,35.5650802,-84.1401893
BADWELL,SC,1902.0,1905.0,33.9265055,-82.3781795
BAILEY,MS,1883.0,null,32.4946834,-88.7263557
BAIRD,PA,1899.0,1915.0,40.1914601,-79.892548
BAITING HOLLOW,NY,1838.0,1912.0,40.9562092,-72.7442665
BAKER,AR,1907.0,1955.0,35.9136863,-92.5976628
BAKER,SC,1881.0,1883.0,34.8996433,-82.7338762
BAKERSVILLE,NJ,1882.0,1905.0,39.3703942,-74.5501546
BALBOA,AR,1897.0,1918.0,36.0325714,-91.5004146
BALDWIN,FL,1857.0,null,30.3012296,-81.9753458
BALDWINSVILLE,NY,1815.0,null,43.1584084,-76.3291446
BALL CREEK,AR,1924.0,1924.0,35.8931341,-93.7782483
BALL'S MILLS,PA,1867.0,1869.0,41.3181328,-77.0269123
BALTZELL,AL,1901.0,1924.0,32.6329121,-87.9325156
BALUCTA,MS,1905.0,1927.0,32.4740301,-89.6259056
BANCROFT,LA,1900.0,1925.0,30.5652019,-93.6854506
BANESVILLE,MS,1884.0,1888.0,34.9406493,-89.6173037
BANNER,AR,1879.0,1971.0,35.6417446,-91.8315327
BARACHIAS,AL,1880.0,1924.0,32.2995852,-86.1963537
BARDWELL,PA,1879.0,1906.0,41.5611879,-75.8621405
BARKHAMSTED,CT,1828.0,1949.0,41.9292629,-72.9139904
BARNES,AL,1839.0,1842.0,32.351521,-87.2488781
BARNES,PA,1872.0,1935.0,41.6781167,-79.0278169
BARREN HILL,PA,1826.0,1883.0,40.0873326,-75.2629576
BARRON,LA,1911.0,1936.0,31.3368488,-92.2495756
BARTHENEY,TN,1883.0,1902.0,36.1945256,-83.8299092
BARTHOLOMEW,LA,1828.0,1829.0,32.7012424,-92.0559593
BASOM,NY,1889.0,null,43.0669061,-78.3920213
BATAVIA,AR,1883.0,1955.0,36.2550706,-93.2226797
BATCHELOR,LA,1902.0,null,30.8387939,-91.6592831
BATH SPRINGS,TN,1839.0,null,35.4589816,-88.1441368
BAY SAINT LOUIS,MS,1875.0,null,30.3092985,-89.3666036
BAYBORO,SC,1870.0,1928.0,34.0096138,-79.0222568
BAYLAND,MS,1917.0,1828.0,32.8873522,-90.658429
BAYOU GOULA,LA,1837.0,null,30.2076963,-91.1701053
BEAN STATION,TN,1929.0,null,36.3450654,-83.2934547
BEAR CREEK,AL,1878.0,1886.0,33.3726082,-85.4038353
BEAR GAP,PA,1812.0,1953.0,40.8323084,-76.505788
BEAR SPRINGS,TN,1893.0,1948.0,36.4775507,-87.7533534
BEATON,AR,1905.0,1949.0,34.3053712,-93.2615685
BEAUMONT,GA,1894.0,1902.0,34.8381332,-85.1918973
BEAVER DAM,SC,1851.0,1856.0,34.6896011,-79.8186744
BEAVER RIVER,NY,1905.0,null,43.9036755,-74.9099025
BEBRA,MO,1882.0,1910.0,38.5402983,-93.0549228
BEDMINSTER,PA,1851.0,null,40.4259371,-75.1790625
BEEBE,AR,1885.0,null,35.0716107,-91.8785947
BEEBE RIVER,NH,1917.0,1971.0,43.8286822,-71.6509114
BEECH,PA,1899.0,1903.0,40.8192324,-77.5811071
BEECHER FALLS,VT,1889.0,null,45.0083069,-71.5077351
BEECHFORD,NY,1892.0,1918.0,42.021203,-74.2704248
BEECHWOOD,MA,1873.0,1955.0,42.2098231,-70.818932
BEEKMAN,LA,1909.0,1932.0,32.9237404,-91.8842948
BELLE GLADE,FL,1921.0,null,26.6960393,-80.680918
BELLEVILLE,NY,1827.0,null,43.7871135,-76.1148582
BELLEVUE,SC,1876.0,1901.0,35.0084496,-82.4156751
BELLMORE,AR,1895.0,1911.0,35.7447923,-91.8470824
BELLVIEW,SC,1874.0,1875.0,35.0084496,-82.4156751
BELLVILLE,AR,1860.0,1867.0,33.9387269,-94.1749202
BELLVILLE,GA,1913.0,1966.0,32.1524142,-81.9742839
BELMONT,MA,1854.0,1905.0,42.3957585,-71.1743997
BEMIS,GA,1909.0,1916.0,30.9332567,-83.241263
BENEDICT,NY,1884.0,1928.0,43.1184064,-74.1431863
BENGAL,MO,1897.0,1918.0,36.9006123,-93.3099079
BENORE,PA,1882.0,1923.0,40.7997828,-77.9461146
BERCLAIR,MS,1890.0,1920.0,33.4717868,-90.3650851
BERKELEY,MO,1938.0,1950.0,38.7499763,-90.3369489
BERLIN,NJ,1867.0,null,39.7968212,-74.9314253
BERNER,GA,1896.0,1957.0,33.1548498,-83.8285142
BERNIE,MO,1889.0,null,36.668524,-89.9682206
BERRY,AR,1914.0,1938.0,36.168125,-92.2234883
BERRYMAN,MO,1884.0,1885.0,37.4761605,-90.687898
BERWICK,MO,1892.0,1908.0,36.933119,-94.0946568
BETHEL STATION,NY,1872.0,1904.0,41.9545367,-73.6337376
BETHLEHEM,LA,1891.0,1907.0,32.7565355,-93.1765548
BEULA,PA,1805.0,1807.0,40.4767385,-78.7719662
BEVERLY,MO,1946.0,1960.0,39.3680547,-94.8671847
BEVIL,MS,1900.0,1908.0,33.2306807,-88.9111687
BEXLEY,MS,1900.0,1959.0,30.9665757,-88.6741952
BIDDEFORD,ME,1802.0,1810.0,43.4910134,-70.456561
BIG FLATS,NY,1809.0,null,42.1413884,-76.9345524
BIG SHANTY,PA,1881.0,1905.0,41.8375626,-78.6547493
BIG SWAMP,AL,1820.0,1831.0,32.1840315,-86.5802533
BIGDAM,PA,1887.0,1906.0,40.0448163,-77.0247004
BILLINGSLY,AR,1854.0,1887.0,35.9203592,-94.2677083
BIRMING,MO,1852.0,1861.0,39.5780516,-94.8207958
BISSELL,MS,1893.0,1902.0,34.246218,-88.7828325
BIVINGSVILLE,SC,1837.0,1867.0,34.944848,-81.8376026
BLACK,PA,1878.0,1901.0,41.8195192,-76.4385518
BLACK CREEK,PA,1833.0,1872.0,40.9736611,-76.1649167
BLACK HAWK,LA,1871.0,1924.0,31.1557322,-91.6359525
BLACK OAK,AR,1902.0,null,35.8356035,-90.3683731
BLACKWATER,NH,1899.0,1901.0,43.2426242,-71.6972601
BLAIRSTOWN,LA,1887.0,1911.0,30.752683,-90.9626028
BLAKESBURG,ME,1824.0,1832.0,45.0735682,-68.8952341
BLANKENSHIP,TN,1900.0,1904.0,35.6903455,-88.2194845
BLANKS,LA,1913.0,null,30.5471363,-91.5940011
BLOCKHOUSE,TN,1889.0,1906.0,35.7031395,-83.9365688
BLOND,LA,1912.0,1935.0,30.597412,-90.1011904
BLUE RIDGE,NY,1891.0,1963.0,43.9572801,-73.7845774
BOGANSVILLE,SC,1839.0,1854.0,34.7552235,-81.7694906
BOILING SPRINGS,TN,1832.0,1854.0,36.2903502,-84.8410597
BOILING SPRINGS,PA,1849.0,null,40.1505276,-77.1269812
BOLINGER,AL,1921.0,null,31.7784899,-88.331129
BOLIVAR,NY,1825.0,null,42.0671606,-78.1678211
BONNE TERRE,MO,1876.0,null,37.92207,-90.5499668
BONNYBROOK,PA,1897.0,1902.0,40.1781444,-77.1855369
BOOK,LA,1934.0,1966.0,31.3374015,-91.8715132
BOONE,AR,1870.0,1908.0,36.4736776,-93.021009
BOONESBORO,MO,1871.0,1953.0,39.0769716,-92.841577
BOONEVILLE,TN,1869.0,1905.0,35.2742459,-86.464438
BOOTHBAY,ME,1891.0,null,43.852423,-69.6282498
BORDEAUX,SC,1837.0,1942.0,33.9265115,-82.4206842
BOSTON,MO,1891.0,1971.0,37.4128284,-94.2818919
BOUEFF,AR,1905.0,1925.0,33.1987311,-91.3798384
BOWIE,PA,1896.0,1904.0,41.2581137,-80.1061713
BOXBORO,MA,1828.0,1872.0,42.491759,-71.5272874
BOXLEY,AR,1883.0,1955.0,35.9767442,-93.4021272
BOYD,MO,1864.0,1887.0,37.5020318,-93.0758286
BOYD'S CREEK,TN,1816.0,1955.0,35.9234211,-83.6590618
BOYLSTON,NY,1852.0,1867.0,43.6564577,-75.9985315
BOYLSTON STATION,MA,1871.0,1875.0,42.316209,-71.0986628
BOYNTON,PA,1883.0,null,39.7671572,-79.0678629
BRADFORD,TN,1874.0,null,36.0765377,-88.8117409
BRAGGVILLE,AL,1898.0,1910.0,32.6823558,-87.9972393
BRAINARD'S BRIDGE,NY,1812.0,1856.0,42.4959149,-73.5120564
BRANCHVILLE,AL,1834.0,1957.0,33.7,-86.4
BRANDON,MS,1829.0,null,32.2829801,-90.0064793
BREEZEWOOD,PA,1902.0,null,39.9981076,-78.2431079
BREMEN,ME,1830.0,1920.0,44.005377,-69.4102169
BREWER,ME,1812.0,1818.0,44.7820619,-68.7511111
BRIAR CREEK,PA,1891.0,1959.0,41.0459185,-76.2821589
BRICK YARD,FL,1879.0,1888.0,29.9627038,-85.0218576
BRIDGETON,RI,1893.0,1943.0,41.9656538,-71.7050678
BRIDGEVILLE,PA,1874.0,null,40.3569333,-80.1135449
BRIGANTINE,NJ,1881.0,null,39.3918769,-74.3970523
BRIGGS,TN,1886.0,1906.0,36.0156623,-82.59014
BRIGHT,AL,1890.0,1905.0,34.2259295,-86.6152711
BRIGHTON,VT,1849.0,1853.0,44.8217264,-71.8936887
BRIGHTWOOD,MA,1874.0,1903.0,42.1199751,-72.6079243
BRINSON,GA,1889.0,null,30.9806042,-84.7367818
BRISTOL,RI,1773.0,null,41.6710125,-71.2771064
BRONX,NY,1962.0,null,40.8188627,-73.9265806
BROOKFIELD,NY,1812.0,1824.0,44.2944948,-73.4487413
BROOKLYN,AL,1827.0,null,31.2626708,-86.7710749
BROOKS VALE,CT,1858.0,1913.0,41.4692638,-72.9159362
BROSCAN,FL,1942.0,1947.0,29.6818932,-83.3434702
BROWNSBURG,TN,1817.0,1823.0,36.1848273,-82.6057028
BROWNWOOD,MO,1882.0,null,37.0831145,-89.9563655
BRUCEVILLE,TN,1902.0,1903.0,35.9195176,-89.349516
BRULY LANDING,LA,1840.0,1874.0,30.3876922,-91.2373306
BRYANT,FL,1946.0,1959.0,26.8497815,-80.616445
BUCATUNNA,MS,1860.0,null,31.5407342,-88.5288827
BUCK CREEK,GA,1838.0,1904.0,32.7534937,-81.5239927
BUCKEYE,LA,1894.0,null,31.3635146,-92.1817969
BUCKNER,MO,1876.0,null,39.1328475,-94.1995776
BUCKNER,AR,1883.0,null,33.3581631,-93.4356885
BUCKSTOWN,PA,1850.0,1907.0,40.0711899,-78.8616893
BUCKTOOTH,NY,1837.0,1861.0,42.1700694,-78.8013732
BUD,MO,1880.0,1893.0,38.7350453,-91.3740489
BUFFINGTON,PA,1879.0,1904.0,40.5136911,-78.9630069
BUFFUM'S MILLS,NY,1836.0,1837.0,42.6442273,-78.6847495
BULLION,PA,1877.0,1915.0,41.2464483,-79.8975548
BURDETTE,PA,1890.0,1902.0,39.968131,-80.4464577
BURGESS,SC,1906.0,1974.0,33.6065582,-79.0555933
BURKSVILLE,MO,1892.0,1907.0,39.8619854,-91.9173913
BURLINGTON,ME,1838.0,null,45.2068775,-68.4248607
BURNETT,AL,1901.0,1906.0,34.1992581,-85.5339511
BURNS,MS,1882.0,1959.0,32.1354292,-89.5478475
BURN'S STATION,TN,1866.0,1882.0,36.0487408,-87.3061426
BURROWSVILLE,AR,1857.0,1867.0,35.9089643,-92.6312746
BURTON,NY,1831.0,1851.0,42.0900647,-78.4941887
BURTVILLE,LA,1892.0,1932.0,30.3324157,-91.1345497
BUSSEY,AR,1910.0,1952.0,33.1556869,-93.4562846
BUTLER,FL,1898.0,1916.0,30.7979681,-84.9435352
BUZZARDS BAY,MA,1880.0,null,41.7482784,-70.6055976
BYNUMS CREEK,MS,1854.0,1867.0,34.2114982,-89.7614772
BYROMTOWN,PA,1887.0,1901.0,41.5242287,-79.0503165
BYROMVILLE,GA,1828.0,null,32.2021738,-83.9064248
BYRON,GA,1861.0,null,32.6463588,-83.760448
BYWY,MS,1880.0,1903.0,33.4373452,-89.2411782
CADY'S FALLS,VT,1856.0,1906.0,44.5781075,-72.6117827
CALAIS,VT,1816.0,null,44.375296,-72.4952308
CALLAHAN,FL,1858.0,null,30.5664611,-81.8266469
CALLICOON DEPOT,NY,1849.0,1906.0,41.7673105,-75.0562785
CAMBRIA,NY,1816.0,1901.0,43.2103342,-78.7972586
CAMDEN,AL,1842.0,null,31.996856,-87.2782721
CAMP BRANCH,MO,1853.0,1859.0,38.8450378,-91.2359802
CAMPTI,LA,1830.0,null,31.8934954,-93.1182202
CANAAN,CT,1795.0,null,42.0272666,-73.3313357
CANAAN,NH,1887.0,null,43.6464121,-72.0086556
CANADOCHLY,PA,1827.0,1828.0,39.9717653,-76.5613544
CANDY,GA,1898.0,1903.0,33.7229006,-83.3862718
CANE CREEK,AL,1839.0,1902.0,33.716767,-86.0063589
CANEY,AR,1850.0,1906.0,33.5898375,-93.1446115
CANOE,AL,1915.0,1966.0,31.026292,-87.4119237
CANTERBURY,CT,1916.0,null,41.6974865,-71.9933461
CANTON CENTER,CT,1893.0,null,41.8541069,-72.9173074
CAPE GIRARDEAU,MO,1806.0,null,37.3085906,-89.5245074
CAPE SABLE,FL,1904.0,1919.0,25.1173483,-81.0881317
CAPLEVILLE,TN,1870.0,1959.0,35.0206478,-89.8978663
CARDIFF,AR,1889.0,1926.0,34.9273191,-93.9252034
CARLETON,FL,1904.0,1923.0,29.6510792,-81.9762057
CARLSTADT,NJ,1858.0,1901.0,40.8384698,-74.0947327
CARMICHAELS,PA,1822.0,null,39.8974751,-79.9760223
CARNOT,GA,1892.0,1904.0,34.3937143,-83.4021077
CAROLINE DEPOT,NY,1860.0,1951.0,42.3700732,-76.4035486
CARROLL,PA,1853.0,1918.0,41.0486849,-77.209691
CARROLLTON,AL,1831.0,null,33.2620453,-88.0956854
CARTERSVILLE,TN,1858.0,1867.0,35.7211807,-87.2455654
CARUM,MO,1899.0,1907.0,38.1816968,-92.898803
CARUTHERSVILLE,MO,1856.0,null,36.1931915,-89.6560437
CARVER,MA,1812.0,null,41.8823252,-70.7636487
CASEVILLE,NY,1832.0,1842.0,41.9734258,-74.2120901
CASHS CORNER,ME,1891.0,1901.0,43.6300825,-70.2922708
CASSANDRA,GA,1855.0,1950.0,34.7842451,-85.3980155
CASTLE FIN,PA,1833.0,1904.0,39.7684371,-76.3282923
CASWELL,ME,1880.0,1908.0,47.0040989,-67.859947
CATATONK,NY,1851.0,1934.0,42.1570185,-76.3074345
CATAWBA,FL,1900.0,1924.0,30.9362947,-87.0241325
CAVECREEK,AR,1855.0,1973.0,35.9292435,-92.9793388
CEBU,SC,1902.0,1910.0,33.9290587,-79.0289241
CEDAR CREEK,NJ,1819.0,1892.0,39.8667856,-74.167917
CEDAR RUN,PA,1853.0,1967.0,41.5225692,-77.4458131
CEDAR SPRINGS,TN,1874.0,1929.0,35.2625723,-85.4777432
CEDARPARK,GA,1893.0,1904.0,31.9754558,-82.8373654
CEDARS,NY,1892.0,1899.0,44.4911712,-75.6366215
CENTER ROAD,PA,1921.0,1944.0,41.7119993,-80.4170111
CENTER BARTLETT,NH,1874.0,1894.0,44.1100686,-71.182572
CENTER LISLE,NY,1828.0,1922.0,42.3584065,-76.0615923
CENTRAL,FL,1899.0,1907.0,29.2002542,-82.0945351
CENTRE BERLIN,NY,1827.0,1893.0,42.6609134,-73.3687211
CEREAL,PA,1907.0,1920.0,40.314514,-79.7236553
CHAIN OF ROCKS,MO,1869.0,1907.0,38.9150505,-90.801518
CHAIRES,FL,1858.0,1955.0,30.4363129,-84.1173935
CHAMPION,PA,1932.0,null,40.0756986,-79.358609
CHAMPION CITY,MO,1877.0,1911.0,38.3194936,-91.2704268
CHANDLERVILLE,ME,1828.0,1841.0,44.7952904,-69.2976912
CHARLEROI,PA,1890.0,null,40.1400324,-79.8987922
CHARLES RIVER VILLAGE,MA,1851.0,1901.0,42.2606534,-71.261167
CHARLESTON FOUR CORNERS,NY,1828.0,1905.0,42.8028522,-74.3990231
CHARLIEVILLE,LA,1877.0,1926.0,32.3068155,-91.919297
CHARLTON,GA,1892.0,1906.0,30.7817272,-82.1376881
CHARLTON DEPOT,MA,1842.0,null,42.1377754,-71.9706361
CHASKA,TN,1906.0,1953.0,36.528969,-84.0774267
CHATTERTON,GA,1900.0,1916.0,31.5115859,-82.736251
CHECHERO,GA,1860.0,1909.0,34.8439812,-83.3440487
CHELSEA,NY,1901.0,null,41.5523406,-73.9675735
CHENANGO,NY,1855.0,1862.0,42.1954093,-75.8988472
CHENEY,GA,1892.0,1898.0,34.3942558,-85.3124552
CHERRY CREEK,TN,1876.0,1904.0,36.0208975,-85.4458083
CHERRY GROVE,PA,1883.0,1927.0,41.696172,-79.1444869
CHERRYLOG,GA,1855.0,null,34.7821413,-84.3899517
CHESHIRE,CT,1805.0,null,41.5043866,-72.9032809
CHICKASAW,AL,1826.0,1890.0,34.8864765,-88.0769816
CHICKIES,PA,1858.0,1909.0,40.0570412,-76.524688
CHICORA,MS,1892.0,1954.0,31.5637746,-88.5753078
CHICORA,PA,1891.0,null,40.9488178,-79.7452131
CHIPPENHOOK,VT,1889.0,1903.0,43.5184028,-73.0139947
CHISMVILLE,AR,1857.0,1934.0,35.217314,-93.9404799
CHOAT,MO,1897.0,1907.0,37.21783,-90.1564952
CHOPTACK,TN,1873.0,1903.0,36.4042597,-83.09739
CHRISTMANS,PA,1899.0,1937.0,40.9681437,-75.6440783
CHRISTMASVILLE,TN,1827.0,1902.0,36.0933969,-88.6475569
CHURCH GROVE,TN,1834.0,1904.0,36.1209153,-83.8526855
CHURUBUSCO,NY,1852.0,null,44.954595,-73.9280363
CICERO CENTRE,NY,1852.0,1903.0,43.178957,-76.0407538
CLARKSON,NY,1820.0,null,43.2323484,-77.9278081
CLARKTON,MO,1870.0,null,36.4519974,-89.9676171
CLAUDVILLE,MS,1892.0,1903.0,34.5903742,-88.463938
CLAUNCH,AR,1891.0,1915.0,35.8709069,-90.4623275
CLAY BROOK,TN,1869.0,1910.0,35.7084019,-88.6342208
CLAYSVILLE,TN,1852.0,1857.0,35.955342,-85.6016462
CLEARVIEW,MO,1871.0,1881.0,40.2136269,-93.3049355
CLEARWATER HARBOR,FL,1859.0,1906.0,27.9658533,-82.8001026
CLEAVESVILLE,MO,1854.0,1908.0,38.2728238,-91.6018278
CLIFFORD,NY,1883.0,1908.0,43.3817357,-76.2852085
CLIFTON,NJ,1869.0,null,40.8691095,-74.1517777
CLINCH RIVER,TN,1877.0,1903.0,36.0323015,-84.1676963
CLINCHFIELD,GA,1926.0,null,32.4140788,-83.6382641
CLONMELL,PA,1854.0,1883.0,39.8792707,-76.1046745
CLOVERDALE,GA,1869.0,1889.0,34.721191,-85.5280202
COATESVILLE,PA,1812.0,null,39.9843212,-75.8213176
COCKRILL,TN,1893.0,1894.0,36.1550572,-86.8458332
COFFEE CREEK,PA,1828.0,1842.0,41.9408891,-79.5817173
COHANSEY,NJ,1886.0,1912.0,39.5115033,-75.2949125
COLBERT,MS,1879.0,1909.0,34.8214838,-89.318685
COLD SPRING,TN,1870.0,1879.0,35.6603458,-85.1457929
COLD WELL,AR,1850.0,1873.0,35.3945063,-91.6162417
COLDPOINT,SC,1903.0,1910.0,34.4217898,-82.0459363
COLDWATER,MS,1870.0,null,34.6883633,-89.9761905
COLERAIN,SC,1872.0,1914.0,34.723743,-81.7978783
COLES CREEK,MS,1858.0,1867.0,33.8903923,-89.5523027
COLLEGE POINT,FL,1930.0,1934.0,30.2529772,-85.6146489
COLORADO,PA,1873.0,1877.0,40.7925882,-76.2588335
COLUMBUS,LA,1854.0,1952.0,31.3546272,-93.6532345
COMER,AL,1880.0,1905.0,34.929251,-87.4047438
COMETTSBURG,PA,1869.0,1900.0,40.4806228,-80.4978454
COMLY,PA,1870.0,1907.0,41.1195285,-76.7288476
COMRAD,LA,1892.0,1898.0,31.3218446,-92.9643243
CONCORD,VT,1804.0,1903.0,44.428958,-71.888785
CONCORD STATION,PA,1862.0,1878.0,41.9031113,-79.7436625
CONCORDIA,LA,1807.0,1825.0,31.5654441,-91.4259495
CONGRESS,MS,1885.0,1908.0,33.7609496,-89.0820073
CONOY,PA,1886.0,1904.0,40.1235916,-76.63072
CONWAY,AR,1871.0,null,35.0892606,-92.4398325
CONWAY,SC,1882.0,null,33.8373924,-79.0472586
COODY,GA,1893.0,1894.0,32.2415339,-83.3393175
COOK,FL,1898.0,1920.0,30.1240905,-85.5177014
COOL SPRING,MO,1839.0,1844.0,38.9175084,-94.0582782
COOLEY,NY,1896.0,1919.0,41.8717565,-74.7090482
COPELAND,AR,1882.0,1955.0,35.6714669,-92.6365517
COPPERHILL,TN,1898.0,null,34.9888856,-84.3715976
COPPERVELLE,NH,1883.0,1891.0,44.5345003,-71.2392446
CORA,LA,1887.0,1957.0,31.1090746,-92.8684852
CORBEAN,NY,1830.0,1831.0,44.9430949,-73.4079125
CORGANDALE,TN,1866.0,1928.0,36.4486621,-87.513068
CORINTH,NY,1819.0,null,43.2477443,-73.8335254
CORK,PA,1892.0,1893.0,40.4911787,-80.3289512
CORLEY,AR,1884.0,1956.0,35.2134222,-93.6346366
CORNERSTONE,AR,1886.0,1930.0,34.2303755,-91.7451298
CORNISH,MS,1902.0,1922.0,34.2681632,-89.3584095
CORNPROPSTS MILLS,PA,1872.0,1905.0,40.5784036,-77.8911108
CORNWALLVILLE,NY,1826.0,null,42.3671754,-74.1566744
COTTON PLANT,AR,1852.0,null,35.0044644,-91.2528472
COTTONDALE,MS,1918.0,1919.0,33.6901151,-90.5428687
COULTERVILLE,TN,1879.0,1918.0,35.4100692,-85.104956
COUNTY LINE,PA,1870.0,1915.0,40.6278627,-76.8641397
COVENTRY,CT,1953.0,null,41.7984318,-72.3717488
COVERDALE,PA,1920.0,1957.0,40.3253475,-80.0372755
COVEY,AR,1915.0,1924.0,36.2534007,-92.1648764
COVINGTON,GA,1823.0,null,33.5984776,-83.862476
COW ISLAND,LA,1911.0,1917.0,29.8971531,-92.2620739
COWAN,TN,1854.0,null,35.1656122,-86.0097914
COWANSHANNOC,PA,1880.0,1919.0,40.8436753,-79.4942109
COWLES,AL,1895.0,1896.0,32.4426379,-85.8974579
COWPENS,AL,1872.0,1905.0,33.0353989,-85.8227391
CRAFTSBURY COMMON,VT,1931.0,null,44.6532078,-72.3817802
CRANBURY,NJ,1869.0,null,40.3136302,-74.5156648
CRANE CREEK,MO,1846.0,1853.0,36.8727509,-93.6481195
CRANSTON,RI,1893.0,1903.0,41.7769423,-71.436744
CRATES,PA,1884.0,1906.0,41.1106205,-79.2697626
CRAVENS,LA,1906.0,1928.0,30.9668567,-93.0351565
CRAWFORDVILLE,GA,1826.0,null,33.5542996,-82.8949402
CRESCENT  BEACH,CT,1904.0,1954.0,41.3150978,-72.2020228
